Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-24,6972.0,7130.0,6928.0,6928.0,248895,0,0
2020-12-29,7000.0,7236.0,6992.0,7234.0,378624,0,0
2020-12-30,7202.0,7254.0,7146.47998046875,7164.0,250814,0,0
2020-12-31,7072.0,7222.0,7050.0,7086.0,246585,0,0
2021-01-04,7254.0,7254.0,6902.39990234375,6918.0,175442,0,0
